,Date,Match,Result,Score,Competition,manager
0,2015-08-09,Stoke City v Liverpool,W,0-1,Premier League,Jurgen Klopp
1,2015-08-17,Liverpool v AFC Bournemouth,W,1-0,Premier League,Jurgen Klopp
2,2015-08-24,Arsenal v Liverpool,D,0-0,Premier League,Jurgen Klopp
3,2015-08-29,Liverpool v West Ham United,L,0-3,Premier League,Jurgen Klopp
4,2015-09-12,Manchester United v Liverpool,L,3-1,Premier League,Jurgen Klopp
5,2015-09-17,Bordeaux v Liverpool,D,1-1,UEFA Europa League,Jurgen Klopp
6,2015-09-20,Liverpool v Norwich City,D,1-1,Premier League,Jurgen Klopp
7,2015-09-23,Liverpool v Carlisle United,W,1-1 (3-2),League Cup,Jurgen Klopp
8,2015-09-26,Liverpool v Aston Villa,W,3-2,Premier League,Jurgen Klopp
9,2015-10-01,Liverpool v FC Sion,D,1-1,UEFA Europa League,Jurgen Klopp
10,2015-10-04,Everton v Liverpool,D,1-1,Premier League,Jurgen Klopp
11,2015-10-17,Tottenham Hotspur v Liverpool,D,0-0,Premier League,Jurgen Klopp
12,2015-10-22,Liverpool v Rubin Kazan,D,1-1,UEFA Europa League,Jurgen Klopp
13,2015-10-25,Liverpool v Southampton,D,1-1,Premier League,Jurgen Klopp
14,2015-10-28,Liverpool v AFC Bournemouth,W,1-0,League Cup,Jurgen Klopp
15,2015-10-31,Chelsea v Liverpool,W,1-3,Premier League,Jurgen Klopp
16,2015-11-05,Rubin Kazan v Liverpool,W,0-1,UEFA Europa League,Jurgen Klopp
17,2015-11-08,Liverpool v Crystal Palace,L,1-2,Premier League,Jurgen Klopp
18,2015-11-21,Manchester City v Liverpool,W,1-4,Premier League,Jurgen Klopp
19,2015-11-26,Liverpool v Bordeaux,W,2-1,UEFA Europa League,Jurgen Klopp
20,2015-11-29,Liverpool v Swansea City,W,1-0,Premier League,Jurgen Klopp
21,2015-12-02,Southampton v Liverpool,W,1-6,League Cup,Jurgen Klopp
22,2015-12-06,Newcastle United v Liverpool,L,2-0,Premier League,Jurgen Klopp
23,2015-12-10,FC Sion v Liverpool,D,0-0,UEFA Europa League,Jurgen Klopp
24,2015-12-13,Liverpool v West Bromwich Albion,D,2-2,Premier League,Jurgen Klopp
25,2015-12-20,Watford v Liverpool,L,3-0,Premier League,Jurgen Klopp
26,2015-12-26,Liverpool v Leicester City,W,1-0,Premier League,Jurgen Klopp
27,2015-12-30,Sunderland v Liverpool,W,0-1,Premier League,Jurgen Klopp
28,2016-01-02,West Ham United v Liverpool,L,2-0,Premier League,Jurgen Klopp
29,2016-01-05,Stoke City v Liverpool,W,0-1,League Cup,Jurgen Klopp
30,2016-01-08,Exeter City v Liverpool,D,2-2,FA Cup,Jurgen Klopp
31,2016-01-13,Liverpool v Arsenal,D,3-3,Premier League,Jurgen Klopp
32,2016-01-17,Liverpool v Manchester United,L,0-1,Premier League,Jurgen Klopp
33,2016-01-20,Liverpool v Exeter City,W,3-0,FA Cup,Jurgen Klopp
34,2016-01-23,Norwich City v Liverpool,W,4-5,Premier League,Jurgen Klopp
35,2016-01-26,Liverpool v Stoke City,L,0-1Agg: 1-1 (6-5),League Cup,Jurgen Klopp
36,2016-01-30,Liverpool v West Ham United,D,0-0,FA Cup,Jurgen Klopp
37,2016-02-02,Leicester City v Liverpool,L,2-0,Premier League,Jurgen Klopp
38,2016-02-06,Liverpool v Sunderland,D,2-2,Premier League,Jurgen Klopp
39,2016-02-09,West Ham United v Liverpool,L,2-1,FA Cup,Jurgen Klopp
40,2016-02-14,Aston Villa v Liverpool,W,0-6,Premier League,Jurgen Klopp
41,2016-02-18,FC Augsburg v Liverpool,D,0-0,UEFA Europa League,Jurgen Klopp
42,2016-02-25,Liverpool v FC Augsburg,W,1-0Agg: 1-0,UEFA Europa League,Jurgen Klopp
43,2016-02-28,Liverpool v Manchester City,L,1-1 (1-3),League Cup,Jurgen Klopp
44,2016-03-02,Liverpool v Manchester City,W,3-0,Premier League,Jurgen Klopp
45,2016-03-06,Crystal Palace v Liverpool,W,1-2,Premier League,Jurgen Klopp
46,2016-03-10,Liverpool v Manchester United,W,2-0,UEFA Europa League,Jurgen Klopp
47,2016-03-17,Manchester United v Liverpool,D,1-1,UEFA Europa League,Jurgen Klopp
48,2016-03-20,Southampton v Liverpool,L,3-2,Premier League,Jurgen Klopp
49,2016-04-02,Liverpool v Tottenham Hotspur,D,1-1,Premier League,Jurgen Klopp
50,2016-04-07,Borussia Dortmund v Liverpool,D,1-1,UEFA Europa League,Jurgen Klopp
51,2016-04-10,Liverpool v Stoke City,W,4-1,Premier League,Jurgen Klopp
52,2016-04-14,Liverpool v Borussia Dortmund,W,4-3,UEFA Europa League,Jurgen Klopp
53,2016-04-17,AFC Bournemouth v Liverpool,W,1-2,Premier League,Jurgen Klopp
54,2016-04-20,Liverpool v Everton,W,4-0,Premier League,Jurgen Klopp
55,2016-04-23,Liverpool v Newcastle United,D,2-2,Premier League,Jurgen Klopp
56,2016-04-28,Villarreal v Liverpool,L,1-0,UEFA Europa League,Jurgen Klopp
57,2016-05-01,Swansea City v Liverpool,L,3-1,Premier League,Jurgen Klopp
58,2016-05-05,Liverpool v Villarreal,W,3-0,UEFA Europa League,Jurgen Klopp
59,2016-05-08,Liverpool v Watford,W,2-0,Premier League,Jurgen Klopp
60,2016-05-11,Liverpool v Chelsea,D,1-1,Premier League,Jurgen Klopp
61,2016-05-15,West Bromwich Albion v Liverpool,D,1-1,Premier League,Jurgen Klopp
62,2016-05-18,Liverpool v Sevilla,L,1-3,UEFA Europa League,Jurgen Klopp
63,2016-08-14,Arsenal v Liverpool,W,3-4,Premier League,Jurgen Klopp
64,2016-08-20,Burnley v Liverpool,L,2-0,Premier League,Jurgen Klopp
65,2016-08-23,Burton Albion v Liverpool,W,0-5,League Cup,Jurgen Klopp
66,2016-08-27,Tottenham Hotspur v Liverpool,D,1-1,Premier League,Jurgen Klopp
67,2016-09-10,Liverpool v Leicester City,W,4-1,Premier League,Jurgen Klopp
68,2016-09-16,Chelsea v Liverpool,W,1-2,Premier League,Jurgen Klopp
69,2016-09-20,Derby County v Liverpool,W,0-3,League Cup,Jurgen Klopp
70,2016-09-24,Liverpool v Hull City,W,5-1,Premier League,Jurgen Klopp
71,2016-10-01,Swansea City v Liverpool,W,1-2,Premier League,Jurgen Klopp
72,2016-10-17,Liverpool v Manchester United,D,0-0,Premier League,Jurgen Klopp
73,2016-10-22,Liverpool v West Bromwich Albion,W,2-1,Premier League,Jurgen Klopp
74,2016-10-25,Liverpool v Tottenham Hotspur,W,2-1,League Cup,Jurgen Klopp
75,2016-10-29,Crystal Palace v Liverpool,W,2-4,Premier League,Jurgen Klopp
76,2016-11-06,Liverpool v Watford,W,6-1,Premier League,Jurgen Klopp
77,2016-11-19,Southampton v Liverpool,D,0-0,Premier League,Jurgen Klopp
78,2016-11-26,Liverpool v Sunderland,W,2-0,Premier League,Jurgen Klopp
79,2016-11-29,Liverpool v Leeds United,W,2-0,League Cup,Jurgen Klopp
80,2016-12-04,AFC Bournemouth v Liverpool,L,4-3,Premier League,Jurgen Klopp
81,2016-12-11,Liverpool v West Ham United,D,2-2,Premier League,Jurgen Klopp
82,2016-12-14,Middlesbrough v Liverpool,W,0-3,Premier League,Jurgen Klopp
83,2016-12-19,Everton v Liverpool,W,0-1,Premier League,Jurgen Klopp
84,2016-12-27,Liverpool v Stoke City,W,4-1,Premier League,Jurgen Klopp
85,2016-12-31,Liverpool v Manchester City,W,1-0,Premier League,Jurgen Klopp
86,2017-01-02,Sunderland v Liverpool,D,2-2,Premier League,Jurgen Klopp
87,2017-01-08,Liverpool v Plymouth Argyle,D,0-0,FA Cup,Jurgen Klopp
88,2017-01-11,Southampton v Liverpool,L,1-0,League Cup,Jurgen Klopp
89,2017-01-15,Manchester United v Liverpool,D,1-1,Premier League,Jurgen Klopp
90,2017-01-18,Plymouth Argyle v Liverpool,W,0-1,FA Cup,Jurgen Klopp
91,2017-01-21,Liverpool v Swansea City,L,2-3,Premier League,Jurgen Klopp
92,2017-01-25,Liverpool v Southampton,L,0-1,League Cup,Jurgen Klopp
93,2017-01-28,Liverpool v Wolverhampton Wanderers,L,1-2,FA Cup,Jurgen Klopp
94,2017-01-31,Liverpool v Chelsea,D,1-1,Premier League,Jurgen Klopp
95,2017-02-04,Hull City v Liverpool,L,2-0,Premier League,Jurgen Klopp
96,2017-02-11,Liverpool v Tottenham Hotspur,W,2-0,Premier League,Jurgen Klopp
97,2017-02-27,Leicester City v Liverpool,L,3-1,Premier League,Jurgen Klopp
98,2017-03-04,Liverpool v Arsenal,W,3-1,Premier League,Jurgen Klopp
99,2017-03-12,Liverpool v Burnley,W,2-1,Premier League,Jurgen Klopp
100,2017-03-19,Manchester City v Liverpool,D,1-1,Premier League,Jurgen Klopp
101,2017-04-01,Liverpool v Everton,W,3-1,Premier League,Jurgen Klopp
102,2017-04-05,Liverpool v AFC Bournemouth,D,2-2,Premier League,Jurgen Klopp
103,2017-04-08,Stoke City v Liverpool,W,1-2,Premier League,Jurgen Klopp
104,2017-04-16,West Bromwich Albion v Liverpool,W,0-1,Premier League,Jurgen Klopp
105,2017-04-23,Liverpool v Crystal Palace,L,1-2,Premier League,Jurgen Klopp
106,2017-05-01,Watford v Liverpool,W,0-1,Premier League,Jurgen Klopp
107,2017-05-07,Liverpool v Southampton,D,0-0,Premier League,Jurgen Klopp
108,2017-05-14,West Ham United v Liverpool,W,0-4,Premier League,Jurgen Klopp
109,2017-05-21,Liverpool v Middlesbrough,W,3-0,Premier League,Jurgen Klopp
