,i,I,J,n
0,1,0,-2,0.14632971213167
1,2,0,-1,-0.84548187169114
2,3,0,0,-3.756360367204
3,4,0,1,3.3855169168385
4,5,0,2,-0.95791963387872
5,6,0,3,0.15772038513228
6,7,0,4,-0.016616417199501
7,8,0,5,0.00081214629983568
8,9,1,-9,0.00028319080123804
9,10,1,-7,-0.00060706301565874
10,11,1,-1,-0.018990068218419
11,12,1,0,-0.032529748770505
12,13,1,1,-0.021841717175414
13,14,1,3,-5.283835796993e-05
14,15,2,-3,-0.00047184321073267
15,16,2,0,-0.00030001780793026
16,17,2,1,4.7661393906987e-05
17,18,2,3,-4.4141845330846e-06
18,19,2,17,-7.2694996297594e-16
19,20,3,-4,-3.1679644845054e-05
20,21,3,0,-2.8270797985312e-06
21,22,3,6,-8.5205128120103e-10
22,23,4,-5,-2.2425281908e-06
23,24,4,-2,-6.5171222895601e-07
24,25,4,10,-1.4341729937924e-13
25,26,5,-8,-4.0516996860117e-07
26,27,8,-11,-1.2734301741641e-09
27,28,8,-6,-1.7424871230634e-10
28,29,21,-29,-6.8762131295531e-19
29,30,23,-31,1.4478307828521e-20
30,31,29,-38,2.6335781662795e-23
31,32,30,-39,-1.1947622640071e-23
32,33,31,-40,1.8228094581404e-24
33,34,32,-41,-9.3537087292458e-26
