i,I,J,n
1,1,0,-0.001773174247321300000000000000000000000000
2,1,1,-0.017834862292358000000000000000000000000000
3,1,2,-0.045996013696365000000000000000000000000000
4,1,3,-0.057581259083432000000000000000000000000000
5,1,6,-0.050325278727930000000000000000000000000000
6,2,1,-0.000033032641670203000000000000000000000000
7,2,2,-0.000189489875163150000000000000000000000000
8,2,4,-0.003939277724335500000000000000000000000000
9,2,7,-0.043797295650573000000000000000000000000000
10,2,36,-0.000026674547914087000000000000000000000000
11,3,0,0.000000020481737692309000000000000000000000
12,3,1,0.000000438706672844350000000000000000000000
13,3,3,-0.000032277677238570000000000000000000000000
14,3,6,-0.001503392454214800000000000000000000000000
15,3,35,-0.040668253562649000000000000000000000000000
16,4,1,-0.000000000788473095593670000000000000000000
17,4,2,0.000000012790717852285000000000000000000000
18,4,3,0.000000482253727185070000000000000000000000
19,5,7,0.000002292207633766100000000000000000000000
20,6,3,-0.000000000016714766451061000000000000000000
21,6,16,-0.002117147232135500000000000000000000000000
22,6,35,-23.895741934104000000000000000000000000000000
23,7,0,-0.000000000000000005905956432427000000000000
24,7,11,-0.000001262180889910100000000000000000000000
25,7,25,-0.038946842435739000000000000000000000000000
26,8,8,0.000000000011256211360459000000000000000000
27,8,36,-8.231134089799800000000000000000000000000000
28,9,13,0.000000019809712802088000000000000000000000
29,10,4,0.000000000000000000104069652101740000000000
30,10,10,-0.000000000000102347470959290000000000000000
31,10,14,-0.000000001001817937951100000000000000000000
32,16,29,-0.000000000080882908646985000000000000000000
33,16,50,0.106930318794090000000000000000000000000000
34,18,57,-0.336622505741710000000000000000000000000000
35,20,20,0.000000000000000000000000891858453554210000
36,20,35,0.000000000000306293168762320000000000000000
37,20,48,-0.000004200246769820800000000000000000000000
38,21,21,-0.000000000000000000000000059056029685639000
39,22,53,0.000003782694761345700000000000000000000000
40,23,39,-0.000000000000001276860893468100000000000000
41,24,26,0.000000000000000000000000000073087610595061
42,24,40,0.000000000000000055414715350778000000000000
43,24,58,-0.000000943697072412100000000000000000000000
